train/target,fra,eus,ces,dan,nld,est,fin,gaa,glg,hin,ind,ita,kor,lat,lav,tur,pol,por,rus,cat,eng,ukr,hun,hnu,huo,jpn,tel,vie
eng,0.9343721905903506,0.8588503838970741,0.8802139574596318,0.9114401858304296,0.819075195226814,0.8326929793922458,0.6561307555329433,0.9498186215235792,0.9508934569394062,0.8066558764233183,0.8896289248334919,0.8915281718686664,0.8713831744438869,0.8729067854031556,0.7864244086390126,0.8105084407152132,0.7948111407859596,0.9260897613123216,0.863402736165149,0.9484260472362877,0.9471991579932172,0.8657795776684987,0.9095288141530916,0.9117183394640042,0.9095288141530916,0.2628421134576674,0.8851963746223565,0.8243877019280875
ita,0.9385675756667664,0.8467316870720066,0.8864104367042516,0.9112466124661248,0.808897078178468,0.8360246110857358,0.6699313151869754,0.9531774821980384,0.9529423619508264,0.8133287900729761,0.886615921344751,0.9409809485204702,0.8740592072252885,0.8922659955473816,0.8222146040452519,0.814104485066427,0.8012209080503625,0.9366878628697816,0.865757424865175,0.9532771502425552,0.878727634194831,0.8836177803490503,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.2574872941202638,0.8761329305135952,0.825516762202536
ind,0.9315752672060732,0.8516704710520855,0.883422063735215,0.9066008517228028,0.781521453013951,0.8080818936564658,0.6461460188247266,0.9458215773209728,0.9458215773209728,0.8046965953942699,0.9221376466856962,0.8688285366842319,0.8636059541729386,0.8641951408382538,0.8007541995200549,0.7820397562681051,0.7814574589851202,0.9236015113814396,0.8510891490205676,0.9472398286179669,0.8714185475382996,0.8788930672066338,0.9022595901208618,0.9022595901208618,0.9022595901208618,0.2709605311446968,0.8761329305135952,0.802414451971513
dan,0.9387673559085008,0.8549491595766756,0.8872579794580748,0.9573170731707316,0.8191629376151619,0.8395443187619227,0.6640167896209616,0.9508598683326616,0.950658336692194,0.8096657864099724,0.8924040596257532,0.889258208350223,0.8773206221776216,0.8668086342077244,0.8313335618786425,0.8026171211667166,0.7929034719572682,0.9276564371947286,0.8672596993763029,0.9480188378598492,0.8820605777102093,0.8764824992768296,0.9118935014888772,0.9116307584515676,0.9116307584515676,0.2645881293163847,0.8806646525679759,0.8162237276359214
gaa,0.9341724103486164,0.848142768209172,0.8724353984078752,0.9097948122338366,0.78476792138282,0.831403315510895,0.6515517679979649,0.9728268171436248,0.9733306462447938,0.8076213192492262,0.8834443387250238,0.8963113092825293,0.8769861180799465,0.8653566934469074,0.8172780253685293,0.8075117370892019,0.8070202212895842,0.9247995576444568,0.8559420020761771,0.95456959739386,0.8681440767161736,0.8757111175392922,0.9070765458048696,0.9084778420038536,0.9070765458048696,0.2600673939879224,0.8685800604229608,0.8091888136182039
glg,0.9341724103486164,0.848142768209172,0.8723475050852565,0.9062137049941928,0.7871369658682109,0.831403315510895,0.6515517679979649,0.9733306462447938,0.9728268171436248,0.8076213192492262,0.8887567396130669,0.8971220105391163,0.8769861180799465,0.8640015487368116,0.8170037709976002,0.801318549595445,0.8070202212895842,0.9249838724541516,0.8501438976427794,0.9543394355723948,0.8681440767161736,0.8827499758943207,0.9070765458048696,0.9070765458048696,0.9070765458048696,0.2600673939879224,0.8685800604229608,0.8091888136182039
est,0.935470981919888,0.8422494293421872,0.8804399688606515,0.9119241192411924,0.7915240852856015,0.9142642198876918,0.7061180361231238,0.949986564557302,0.949986564557302,0.8048385722804328,0.8845543926419284,0.8802594244021078,0.8658638568322462,0.8626464040267157,0.816935207404868,0.8028169014084507,0.7803128576879054,0.925260344668694,0.8632170617873691,0.9470450763074962,0.8674424043971465,0.868190145598303,0.9147836748992818,0.9147836748992818,0.9147836748992818,0.2597337603843459,0.8700906344410876,0.8116206357477853
hin,0.93067625611827,0.850051877982984,0.8584226915446623,0.9034068912117692,0.7882776169167325,0.8227786883043606,0.6312007122869498,0.9507591025124278,0.9507591025124278,0.9401993355481728,0.8833650491595306,0.8774219700040535,0.8712995484194681,0.8729067854031556,0.7941035310250257,0.8113075616821497,0.7542922548645555,0.9248917150493042,0.8648374927207204,0.9419106972132716,0.8659805870658402,0.8704078680937228,0.9083902609914172,0.9076020318794884,0.9083902609914172,0.2595391407822596,0.8821752265861027,0.8076254993920444
kor,0.92628109080012,0.8398422909317286,0.8354385876798675,0.894502516453736,0.7719575326840397,0.8100432574760204,0.5872551513609768,0.949516324062878,0.9490460835684535,0.8074793423630633,0.8846336822074216,0.8689096068098906,0.9361933433684564,0.8122156616010067,0.7633870414809736,0.7832384377185097,0.7415490270888974,0.9203760022117776,0.8484981474760944,0.9415920116143196,0.8539352122558765,0.8571015331212034,0.902960238220354,0.902960238220354,0.9012086179716238,0.2547125746505188,0.8700906344410876,0.7971165537606392
eus,0.930776146239137,0.9125959742685203,0.8799314432083574,0.9047619047619048,0.7883653593050803,0.8227518203068326,0.6401678962096159,0.9505575708719602,0.9497850329168346,0.8045262231308743,0.8871709483032033,0.8809890555330361,0.8611807994647934,0.8540315555125351,0.8033596160438807,0.794625911497353,0.7811522319725296,0.9230485669523546,0.853241283853925,0.9450975532027904,0.865220442053561,0.8762896538424453,0.905412506568576,0.9016465230338064,0.9016465230338064,0.2582713330886687,0.8731117824773413,0.7966822998089282
nld,0.926480871041854,0.8363560904752023,0.8860023605635218,0.9017615176151762,0.9133105203123628,0.8113597893548994,0.6410582548969728,0.9484079000403064,0.9461910519951632,0.802481755970128,0.8928797970187123,0.87328739359546,0.8711322963706305,0.8578066014906591,0.7287624271511827,0.7919288782339426,0.7928271652041206,0.9222191503087273,0.8548701545317208,0.944973619914309,0.8683194947959303,0.8839070485006267,0.8988439306358381,0.9013837799964968,0.8988439306358381,0.259049811497014,0.8640483383685801,0.8065832899079382
fin,0.9231844970532416,0.8327038804731272,0.8302591597398358,0.8954703832752613,0.7763446521014302,0.8210591364625595,0.8302594759603155,0.9466612924895876,0.9465269380626092,0.8019990345571741,0.8813828100222011,0.8698824483177949,0.8691252717845793,0.8130868260574968,0.7467946520397669,0.7724503046648686,0.7703166730255627,0.919638742972998,0.8388430798315427,0.9412910307708652,0.8530581218570927,0.843313084562723,0.8937642319145209,0.8900858293921877,0.8900858293921877,0.2599673039068495,0.8580060422960725,0.7985930171964565
ces,0.917790430526421,0.8121601992114547,0.9384621179779512,0.8783391405342624,0.7609897341405633,0.7808108761653993,0.5961587382345459,0.9438062609162972,0.9438062609162972,0.7858704602890649,0.8781319378369806,0.857640859343332,0.8104198026425824,0.8140547865647082,0.7843675008570449,0.7588652482269503,0.7919114841663487,0.914293613491844,0.8144522183868272,0.9379094224708756,0.8413051105133903,0.8588371420306624,0.883692415484323,0.8753722193028551,0.8753722193028551,0.2590831748573716,0.8308157099697885,0.7777488275143304
fra,0.9778243931675156,0.850798920937954,0.8847027950076592,0.907181571815718,0.810300956392033,0.8355678551277573,0.6518061561943526,0.9505239822652156,0.9505239822652156,0.8021126160661044,0.8941484300666033,0.8986623429266315,0.870128784077605,0.8737779498596457,0.8158381899211519,0.809809209869144,0.8003052270125907,0.9337388259146624,0.8590225087984336,0.952303388690202,0.8828207227224886,0.8846784302381641,0.905937992643195,0.905937992643195,0.905937992643195,0.2617744859262225,0.877643504531722,0.8056279312141741
por,0.9443612026770551,0.8489313135505292,0.8883378117073906,0.91182733255904,0.8040712468193384,0.8337139632983154,0.6666878656830323,0.9455192798602714,0.9459895203546956,0.8069966209501093,0.8935141135426578,0.9033644102148358,0.8744773373473825,0.8805536734101249,0.8229002399725746,0.7958245929477574,0.7880961465089661,0.9610174177495162,0.8665676403318507,0.954410254594384,0.8845749035200562,0.8736862404782567,0.9164477141355754,0.9164477141355754,0.9133823787002978,0.2638596959485759,0.877643504531722,0.8072780962306757
rus,0.9346718609529516,0.8388462336584354,0.8658182868335803,0.9063104916763454,0.7873124506449065,0.8304629355974099,0.6235054693462223,0.9496842670966008,0.9514308746473196,0.8016866854076157,0.8778940691405012,0.8795297932711795,0.861348051513631,0.8637111605846481,0.7902639698320192,0.7909299770252722,0.7744372376955361,0.9274721223850336,0.9500535923772228,0.946655571686555,0.864752660507543,0.8886317616430431,0.9100543002277106,0.9096163951655282,0.9096163951655282,0.2613574439217518,0.8746223564954683,0.8017196456487754
cat,0.9390670262711018,0.8517534758248599,0.8927073654604355,0.9090205187766164,0.8082828814600334,0.8332303393428088,0.6599465784787586,0.9533454252317614,0.9526064758833804,0.8032484311554079,0.8920076117982874,0.8941224158897446,0.8751463455427329,0.8822960023231052,0.8185121700377099,0.8010188792328439,0.7893170545593285,0.938715325776426,0.850937233620566,0.9742218759958924,0.8744591275874167,0.881785748722399,0.9111052723769488,0.9123314065510596,0.9123314065510596,0.2539563384824119,0.8746223564954683,0.7942504776793469
tur,0.9275796623713914,0.8434529985474165,0.8572298535948369,0.898664343786295,0.7884531016934281,0.8027620301458932,0.6378148053930298,0.9489453177482198,0.94645976084912,0.8033620126643383,0.8788455439264193,0.8717470612079449,0.8654457267101522,0.8555802923240732,0.7769626328419609,0.9231844970532416,0.7788630293780999,0.9212054188554052,0.8576552701984184,0.9433801919195496,0.8628230616302187,0.8619226689808119,0.9053249255561394,0.9039236293571554,0.9039236293571554,0.2560582301849442,0.8746223564954683,0.7966822998089282
lav,0.9079013085605834,0.7857646814691844,0.8505060144145049,0.8830816879597367,0.7312450644906554,0.7806228001827024,0.6036631900279827,0.9426978368937255,0.9403802230283488,0.7964335406195872,0.8777354900095148,0.8458046209971626,0.8221274460612142,0.8259607008034072,0.9107987658553308,0.7543701927879333,0.7526135062953071,0.9177034374712008,0.8297956737869977,0.9385467936687796,0.8457490352005613,0.8566194195352425,0.8568926256787528,0.8568926256787528,0.8568926256787528,0.2559803823441097,0.8580060422960725,0.7920792079207921
lat,0.9300769153930676,0.8244864079684582,0.8400529871173501,0.8975029036004646,0.7575677809949987,0.810714957414224,0.6308827270414653,0.9348716915222356,0.9348716915222356,0.8074509469858308,0.8751189343482397,0.8825293879205512,0.7996320454925573,0.9389216919949666,0.7620843332190607,0.7801418439716312,0.7605494086226631,0.9223113077135748,0.8443879919316043,0.9409900499274104,0.858262191556543,0.8420595892392247,0.9024347521457348,0.9024347521457348,0.8990190926607111,0.2690310168040125,0.8700906344410876,0.8028487059232239
pol,0.9293776845469984,0.8373936501348828,0.8474297481228498,0.9029229578010066,0.7709923664122137,0.8207367204922217,0.6329178326125667,0.9500201531640468,0.9509270455461508,0.7968026805236108,0.8816999682841739,0.877827320632347,0.8738919551764509,0.8172490562385055,0.751319849160096,0.7935271201678155,0.9156047310186952,0.9204681596166252,0.8495953142538843,0.9445487057823732,0.8615951350719214,0.8403239803297657,0.8995445787353302,0.8995445787353302,0.8995445787353302,0.262080316729501,0.8700906344410876,0.8094493659892305
ukr,0.9192887823394268,0.8214152313758041,0.8477938776022702,0.8910181958962446,0.7717820479073441,0.794137402939359,0.5876367336555584,0.937961843342738,0.9373572484213356,0.7893346963114405,0.8743260386933079,0.8623429266315363,0.8199531694263255,0.8177330364921112,0.7936921494686322,0.7613625012486265,0.7470431133155284,0.9188093263293704,0.8634955733540388,0.9370418894515068,0.8471523798386154,0.9339504387233633,0.8884217901558942,0.8884217901558942,0.8870204939569102,0.2563863032284612,0.8429003021148036,0.7902553413236061
